date,pair_id,category,chain,side,store,label,price_gbp,per100,unit,offer,source,amount,amount_basis
2026-07-08,richmond-saus,branded,branded,plant,Tesco,Richmond 8 Meat Free Vegan Sausages (304g),2.4,0.7895,g,3 FOR 2,trolley,304,register
2026-07-08,richmond-saus,branded,branded,plant,Waitrose,Richmond 8 Meat Free Vegan Sausages (304g),2,0.6579,g,,trolley,304,register
2026-07-08,sains-balls,meatballs,Sainsbury's,meat,Sainsbury's,British or Irish 10% Fat 12 Beef Meatballs,4,1.1429,g,,trolley,350,register
2026-07-08,sains-balls,meatballs,Sainsbury's,plant,Sainsbury's,Plant Pioneers Meat Free Meatballs,1.32,0.3474,g,,trolley,380,register
2026-07-08,sains-burg,burgers,Sainsbury's,meat,Sainsbury's,4 Quarter Pounder British Beef Burgers,3,0.6608,g,,trolley,454,register
2026-07-08,sains-burg,burgers,Sainsbury's,plant,Sainsbury's,Plant Pioneers Meat Free Burgers,2,0.885,g,,trolley,226,register
2026-07-08,sains-lasagne,ready meals,Sainsbury's,meat,Sainsbury's,Beef Lasagne Ready Meal for 1,2.1,0.525,g,£1.90 NECTAR,trolley,400,register
2026-07-08,sains-lasagne,ready meals,Sainsbury's,plant,Sainsbury's,Plant Pioneers Vegan Meat Free Lasagne,2,0.5,g,,trolley,400,register
2026-07-08,sains-mayo,mayonnaise,Sainsbury's,meat,Sainsbury's,Mayonnaise Squeezy,1,0.2,ml,,trolley,500,register
2026-07-08,sains-mayo,mayonnaise,Sainsbury's,plant,Sainsbury's,Plant Pioneers Vegan Mayo,1.4,0.56,ml,£1.25 NECTAR,trolley,250,register
2026-07-08,sains-mince,mince,Sainsbury's,meat,Sainsbury's,British or Irish 20% Fat Beef Mince,3.25,0.65,g,,trolley,500,register
2026-07-08,sains-mince,mince,Sainsbury's,plant,Sainsbury's,Plant Pioneers Meat Free Mince,1.74,0.348,g,,trolley,500,register
2026-07-08,sains-saus,sausages,Sainsbury's,meat,Sainsbury's,Butcher's Choice Cumberland British Pork Sausage x8,1.79,0.3943,g,,trolley,454,register
